Title,Start Date,Votes,Body Text,Num Coauthors,Days from start to scrape,Days from start to end,Lifetime,Start Month Name,Title Length,Body Text Length,Title Uppercase Count,Body Text Uppercase Count,Title Lowercase Count,Body Text Lowercase Count,Body Text LIX Score,Distance to parliament km,Title All Upper,Title has Stop,Body Text Sentiment,topic,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
Afskaf inklusionsloven,2024-08-15,39,"For at forbedre undervisningen og sikre optimal støtte til elever med særlige behov, foreslås det at afskaffe inklusionsloven og i stedet genindføre og styrke specialtilbuddene i folkeskolen. Dette indebærer en omlægning af ressourcerne, så flere midler afsættes til specialskoler og specialklasser, hvor elever med særlige behov kan få skræddersyet undervisning og støtte fra uddannede specialister.  Der skal desuden etableres flere fleksible ordninger, hvor elever kan modtage en kombination af specialpædagogisk støtte og undervisning i almindelige klasser, når det er hensigtsmæssigt for deres udvikling. Dette sikrer, at de får den nødvendige faglige og sociale støtte, samtidig med at de i højere grad inkluderes i skolens fællesskab på deres præmisser.  Lærernes kompetencer bør også opgraderes gennem efteruddannelse, så de er bedre rustet til at identificere og håndtere elever med særlige behov. Desuden bør der etableres stærkere samarbejdsstrukturer mellem lærere, pædagoger og specialister for at sikre en helhedsorienteret tilgang til hver enkelt elevs behov.  Denne ændring vil sikre, at alle elever modtager undervisning og støtte på det niveau, der bedst fremmer deres læring og trivsel, og at lærerne kan fokusere på at levere høj undervisningskvalitet for alle. Inklusionsloven, som blev indført i 2012 med det formål at inkludere flere elever med særlige behov i den almindelige folkeskole, har vist sig at have flere uheldige konsekvenser, som taler for en afskaffelse af loven.  For det første har inklusionsloven medført, at lærere og pædagoger står over for en betydelig udfordring med at håndtere et bredere spektrum af elever i klasseværelserne. Mange lærere har ikke den nødvendige specialpædagogiske uddannelse eller ressourcer til at sikre, at elever med særlige behov modtager den støtte, de har brug for. Dette fører til, at disse elever ikke får det optimale udbytte af undervisningen, og at lærernes opmærksomhed spredes på en måde, der kan gå ud over kvaliteten af undervisningen for alle elever.  For det andet har inklusionen i mange tilfælde ført til sociale udfordringer for de inkluderede elever. De kan have svært ved at føle sig som en del af fællesskabet i klassen, hvilket kan forstærke deres følelse af at være anderledes eller udenfor. Dette kan have alvorlige konsekvenser for deres trivsel og udvikling, både fagligt og socialt.  Desuden viser undersøgelser, at mange forældre og lærere oplever, at inklusionen ikke fungerer efter hensigten. Ressourcerne er ikke tilstrækkelige, og det har i mange tilfælde ført til, at elever med særlige behov ikke får den nødvendige støtte, samtidig med at den generelle undervisningskvalitet falder.  I stedet for at fortsætte med en model, der ikke virker optimalt, bør der investeres i specialskoler og specialklasser, hvor elever med særlige behov kan få skræddersyet undervisning og støtte fra uddannede specialister. På denne måde kan alle elever få den bedst mulige uddannelse og trivsel, uanset deres forudsætninger, og lærerne kan fokusere på at levere høj kvalitet i undervisningen til alle elever i klassen.",3,3,180,3,August,22,3102,1,18,20,2556,59.34915536521533,278.8966234280933,False,False,positive,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Fartbøder forhindrer i at opnå Dansk statsborgerskab,2024-08-06,82,"Forslaget drejer sig om regler for fartbøder ved at kunne søge om Dansk indfødsret.  Regler for fartbøder er alt for firkantede og forhindre at opnår et Dansk statsborgerskab, selvom man har opfyldt alle andre krav for at kunne søge om Dansk indfødsret.  Som regler er i dag  Har man fået en fartbøde på 3000 kroner eller derover, vil man ikke kunne få et Dansk statsborgerskab før der er gået 4½ år.   Køre man på en landevej i en personbil, hvor hastighedsgrænsen er 80 kmt, og ens fart 110 kmt. giver det et klip i kørekortet og en bøde på 3000 kr. og dermed er du ikke en god samfundsborger og kan ikke blive Dansk statsborger. Vi synes ikke det er rimeligt at en fartbøde skal forhindre en i opnå et dansk statsborgerskab, da vi mener det ikke er en kriminel handling, for Dansker bliver det ikke anført i ens straffeattest at man har lavet en lovovertrædelse ved at have modtaget en fartbøde. Derfor mener vi at så længe man betaler ens fartbøder skal det ikke forhindre en i at få et Dansk statsborgerskab. Denne form for udlændingepolitik er alt for snæversynet og har intet med om man er en god samfundsborger eller ej.   Vi ønsker at denne regel skal helt fjernes eller bødestørrelsen skal være noget højere, så det ikke forhindre en i at kunne få et Dansk statsborgerskab.",3,12,180,12,August,52,1283,2,17,44,999,40.80393013100437,355.768312331613,False,False,positive,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Forbyd dressurridning som konkurrencesport,2024-08-06,245,"Dressurridning som konkurrencesport er en sport, der i bund og grund handler om at tvinge en hest til at paradere rundt i yndefulde men for hesten dybt unaturlige gangarter. Hestene lærer dette på samme måde, som såkaldte dansebjørne lærer deres ting Via vold, mishandling og tortur. I Danmark er en tidligere WM sølvmedaljevinder nu udelukket fra sporten pga. dyremishandling. En anden måtte trække sig kort inden OL i Paris, da en video af hendes træning viste det samme. Forud som samme olympiske lege er der dukket en video op af en tidligere OL guldmedaljevinder og førende indenfor sporten, som plager pisker sin hest til at udføre hendes vilje. Hver gang er forklaringen den samme Det er slet ikke sådan, at jeg plejer at gøre. Det er et enkeltstående tilfælde, som jeg beklager dybt og bla bla bla Problemet er blot, at alle de mange enkeltstående tilfælde dokumenterer et meget ubehageligt mønster og afslører en sport, der i bund og grund hviler på dyremishandling.  For 100 år siden blev der også afholdt OL i Paris 1924. På det tidspunkt kunne man bl.a. konkurrere i skeetskydning men efter levende duer. Det ville være utænkeligt i dag og blive anset som dyremishandling for menneskelig fornøjelses skyld. Det er på høje tid at erkende, at dressursport er tilsvarende mishandling, som handler om at betvinge et dyrs almindelige adfærdsmønster. Dette gøres bl.a. via piske, fastholden af hestehals og hoved i en meget foroverbøjet og smertefuld positur, spidse hæle, vanskeliggørelse af hestens vejrtrækning m.m. Alt sammen for at få hesten til at makke ret.  Derfor Forbyd dressurridning som konkurrencesport og lad hesten være det, den er En hest. Dette borgerforslag er stillet at dyreetiske årsager. Det er ikke rimeligt at gøre vold på et dyrs natur og anvende dette til menneskelig underholdning, som ovenikøbet efterfølgende TVtransmitteres, præmieres og ophøjes til noget ædelt.  Borgerforslaget retter sig IKKE mod hyggedressurridning, hvor det er initiativtagerens opfattelse, at der ikke anvendes samme grove og dyremishandlende træningsmetoder. Der ønskes derfor et forbud mod dressurridning som konkurrencesport i erkendelse af, at i stræben efter at vinde eller være den bedste vil mennesket mange gange tage enhver metode i brug, hvor farlig, uetisk eller konkurrenceforvridende, den end måtte være.",3,12,180,12,August,42,2326,1,40,38,1864,40.11338797814207,13.285377072342156,False,False,negative,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lavere skat og fjernelse af minimumsalder på pensionsudbetaling for personer med uhelbredelig sygdom,2024-08-06,338,"Vi stiller et forslag om ændring af reglerne for pensionsudbetaling til personer med uhelbredelig sygdom. Når man får en uhelbredelig diagnose, ændres livet øjeblikkeligt. De økonomiske bekymringer burde ikke være en byrde i denne svære tid. På nuværende tidspunkt er pensionsudbetalingen for personer med uhelbredelig sygdom underlagt en høj skatteprocent på 60 og en minimumsalder på 60 år for udbetaling af pension i visse pensionsselskaber.  Derfor foreslår vi følgende ændringer  1. Folketinget bør sænke skatteprocenten fra 60 til 40 for personer med uhelbredelig sygdom, hvilket svarer til den sats, folk betaler, når de går på pension.  2. Folketinget bør afskaffe minimumsalderen for pensionsudbetaling til personer med uhelbredelig sygdom.  For at sikre, at dette kan kontrolleres, foreslår vi, at personer med uhelbredelig sygdom skal kunne dokumentere dette ved lægelig dokumentation. Disse ændringer vil give personer med uhelbredelig sygdom mulighed for at leve deres liv fuldt ud og fokusere på det, der virkelig betyder noget for dem.  Vi håber, at folk vil støtte dette forslag og gøre det muligt for folk med uhelbredelig sygdom at få udbetalt deres pension uden komplikationer, da de fortjener at kunne bruge de penge, de selv har sparet op. Vi stiller dette forslag for at lette den økonomiske byrde, som personer med uhelbredelig sygdom står overfor. Når en sådan diagnose stilles, ændres livet drastisk, og bekymringer om økonomi bør ikke forværre situationen. På nuværende tidspunkt pålægges disse personer en skatteprocent på op til 60, og nogle pensionsselskaber har en minimumsalder på 60 år for udbetaling af pension. Vi ønsker, at dette forslag skal give folk med uhelbredelig sygdom mulighed for at bruge de penge, de selv har optjent.",3,12,180,12,August,100,1764,1,14,87,1429,50.907995079950794,291.0795593264778,False,False,negative,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bloddonorpligt. Som værnepligt,2024-07-26,41,"Jeg forslår at der etableres en pligt til at aflevere blod. Jeg tænker flere forskellige modeller til etablering af dette. Men det vil være oplagt, at gøre det i.f.m. Forsvarets dag tidl. kaldet session. Man vil evt. kunne trække et nummer, der gør at man er udtaget til at være donor i f.eks. 3 el. 5 år. Til Forsvarets dag får man i forvejen gennemgået sin helbredstilstand, hvad der jo også er nødvendigt for at være bloddonor. Det er jo velkendt at danske regioner mangler blod. Og hvisnår man så samtidig tænker på myndighedernes anbefalinger til at forberede os på kriser, så bør vi også sikre os, at vi har blod nok. Også til eventuelle store kriser. Kriser der rammer mange mennesker på én gang",3,23,180,23,July,30,702,2,11,25,544,30.55294117647059,338.94401845367554,False,False,negative,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Giv politiet mulighed for at nedsætte straksnavneforbud i særlige sager,2024-07-26,3081,"Forslaget drejer sig om at give politiet bemyndigelse til at udstede et straksnavneforbud på stedet for anholdelsen i særligeekstraordinære sager. Ikke kun af hensyn til den mistænkte, men også af hensyn til uskyldige med samme navn, som forveksles med mistænkte, med alle de ubehagelige konsekvenser det kan få.  Navneforbuddet kan så enten blive afvist eller godkendt, når den anklagede skal i grundlovsforhør dagen efter.  Det er selvsagt fortsat de danske domstole der skal have retten til at nedlægge navneforbud i straffesager. Dette forslag drejer sig derfor kun om et midlertidigt navneforbud frem til grundlovsforhøret. De seneste år har der været talrige eksempler på at den gældende lovgivning omkring navneforbud ikke er tidssvarende og skrevet i en tid hvor sociale medier endnu ikke havde gjort sit indtog og informationer derfor ikke rejste ligeså hurtigt som idag.   Dette har budt på flere udfordringer, både i form af at uskyldige mennesker er blevet tilsvinet og har fået vendt op og ned på deres liv, men også i form af at pårørende og folk med samme navn er blevet kontaktet og tilsvinet.  I den seneste sag gik der fra Philip Patrick Westh blev anholdt omkring klokken 15 og til hans navn og dermed mit figurerede på diverse webfora under 30 minutter. Her var klokken ca. 15.30.  Grundlovsforhøret foregik først dagen efter klokken 11. Det gav altså folk næsten 20 timer til at dele navnet ganske lovligt hvorefter det så blev ulovligt.  Det betød for mit vedkommende at navnet var ude og næsten alle kendte den anklagedes navn, men efter navneforbuddet blev nedlagt havde jeg ingen mulighed for at forsvare mig og fortælle folk at det altså ikke var mig, da jeg i så fald selv ville bryde det gældende navneforbud.  Vi mener derfor at politiet skal have bemyndigelse til at udstede et straksnavneforbud på stedet for anholdelsen i særligeekstraordinære sager. Ikke kun af hensyn til den mistænkte, men også af hensyn til uskyldige med samme navn, som forveksles med mistænkte, med alle de ubehagelige konsekvenser det kan få.  Navneforbuddet kan så enten blive afvist eller godkendt, når den anklagede skal i grundlovsforhør dagen efter.  Det er selvsagt fortsat de danske domstole der skal have retten til at nedlægge navneforbud i straffesager. Dette forslag drejer sig derfor kun om et midlertidigt navneforbud frem til grundlovsforhøret.",3,23,180,23,July,71,2364,1,20,61,1912,45.526315789473685,140.74859313170828,False,False,negative,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Mistillidsvotum til statsminimister Mette Frederiksen,2024-07-26,216,"Befolkningen ønsker, at der stilles et mistillidsvotum til Statsminister Mette Frederiksen og hendes regering. Stiller, medstillere, og underskrivere af dette borgerforslag mener, at Mette Frederiksen ikke er egnet til stillingen som Statsminister, og hun bør gå af. Det er desværre ikke muligt for befolkningen at stille et mistillidsvotum, hvorfor vi opfordrer Folketinget til at gøre dette. Vi beder med stor alvor Folketinget forholde sig til vores opfordring. Vi, de underskrevne borgere, fremsætter dette forslag med en stemme for forandring i det siddende statsministerembede, baseret på de betragtninger som er erhvervet før og under den højaktuelle IsraelPalæstina krise. Grundlaget for borgerforslaget uddybes og inddeles i flg. 3 punkter, med dertilhørende underpunkter 1. Lederskab og beslutningskompetence. 2. Manglende dialog og lydhør medfor befolkningen. 3. Manglende evne til at forene. 1. Lederskab og beslutningskompetence Vi mener, at der har været en uhensigtsmæssig og ulovlig håndtering af vigtige beslutninger og en manglende evne til at lede landet gennem aktuelle udfordringer.   1.1 Manglende håndhævelse af den strategiske ramme.  Som anført i den Strategiske Ramme for DanmarkPalæstina 20212025, er kernen i den israelskpalæstinensiske konflikt politisk. Der er tale om en langvarig og tiltagende konflikt om territorium, som kræver en omfattende politisk løsning. Danmark skal altså arbejde aktivt for en ny EUstrategi, der adresserer de underliggende årsager til IsraelPalæstinakonflikten og genskabe en politisk horisont. Det kan ikke gøres ved at se isoleret på den aktuelle krig i Gaza, da Israels militære angreb på Gaza skal ses i konteksten af den årtier lange konflikt og ulovlige besættelse og at Palæstinensere ikke repræsenterer Hamas, hvorfor de ikke kan drages til ansvar for den militante gruppes forbrydelser under international lov. Regeringen skal arbejde for, at borgere  både israelere og palæstinensere  i det samme geografiske område har de samme rettigheder.  1.2 Manglende respekt og håndhævelse af national og international lovgivning.  Man har som Statsminister ansvar for, at lovgivningen overholdes. Danmark har igennem FNtraktat et medansvar for aktivt at skubbe på drøftelserne om overholdelse af krigens love i konflikten, herunder i FNs menneskerettighedsråd og i sikkerhedsrådet  hvilket er yderst relevant såfremt Danmark bliver valgt ind som medlem i 20252026. Danmark skal proaktivt støtte grundige internationale undersøgelser af krigsforbrydelser og brud på international humanitær lov. Det indebærer aktiv støtte og bidrag til den igangværende ICCundersøgelse af Israels mulige krigsforbrydelser i Gaza og på Vestbredden. Dette forestår stadig ugjort.  1.3 Manglende respekt og håndhævelse af den humanitære folkeret.  Man har som Statsminister ansvar for, at lovgivningen overholdes. Herunder den humanitære folkeret jf. Genève Konventionen, Haager konventionen og landkrigsreglementet. Statsministeren og den danske regering har IKKE arbejdet for at stoppe Israel i at begå yderligere brud på folkeretten, via tidligere sanktioner eller aktuelt at støtte FNs våbenhvile. Dette er et statsligt brud på Genève Konventionen bla. kap. 8 art. 47 og kap. 9 art. 49. Statsministeren og den danske regering har IKKE arbejdet for at holde Israel til ansvar for de lovbrud der allerede er begået, via sanktioner eller retsforfølgelse. Dette er et statsligt brud på Genève Konventionen bla. kap. 9 art. 49, 54, TILLÆG I art. 11 og 13. Statsministeren har ukritisk støttet Israels ret til at forsvare sig selv på trods af at antallet af dræbte civile d. 12.11.23 har krydset 11.000 mennesker. Drab som aktuelt kan kategoriseres som værende krigsforbrydelser jf. nedenstående. Statsministeren har hverken taget afstand fra Israels krigshandlinger, som nu falder ind under kategorien folkedrab, eller stemt for en humanitær våbenhvile til at stoppe de ekstremistiske krigsforbrydelser Israel aktuelt udfører.  Siden eskaleringen startede den 7. oktober, har Israel udført følgende handlinger, der må betegnes som værende i strid med folkeretten og som mulige krigsforbrydelser per 18. oktober  1. Kollektiv afstraffelse som følge af Hamas angreb på Israel er 2.2 millioner palæstinensere i Gaza ramt af Israels bombardementer og blokade, hvilket er i strid med artikel 33 i Genève Konventionen, der stipulerer at ingen beskyttet person kan straffes for en forseelse, denne ikke personligt har begået og at kollektiv afstraffelse og alle tilsvarende generende tiltag eller terrorisme er forbudt. Intentionen om kollektiv afstraffelse ses bl.a. i Israels forsvarsminister Yoav Gallants udtalelse den 10. oktober Gaza vil ikke vende tilbage til, hvad det var før. Israels præsident Isaac Herzog udtalte også den 11. oktober Det er en hel nation, der er ansvarlig. Endelig har den israelske minister for energi og infrastruktur, Israel Katz den 13. oktober sagt De vil ikke modtage en dråbe vand eller et eneste batteri, førend de forlader verden. Den 9. oktober annoncerede forsvarsminister Yoav Gallant, at ingen basal nødhjælp kommer ind i Gaza, så længe at Hamas ikke løslader de israelske gidsler. 2. Forhindring af humanitær adgang og nødhjælp Den fjerde Genève Konvention pålægger stater forpligtelse til at tillade adgang til humanitær nødhjælp for civile i nød. Både Hamas og Israel skal dermed sikre, at de akut nødvendige forsyninger kan nå civile.  3. Tvungen fordrivelse af udsatte grupper Den israelske hærs ordre til mere end 1 million mennesker i det nordlige Gaza og Gaza by om at evakuere syd for Gazastriben indenfor 24 timer kan ikke betragtes som en effektiv advarsel, og udgør potentielt en tvungen fordrivelse af civilbefolkningen. Ydermere har der ikke været garanti for fysisk sikkerhed på hverken migrationsruten eller i det sydlige Gaza. 4. Angreb på hospitaler, ambulancer, og faciliteter, hvor syge og sårede befinder sig Der er dokumentation for, at Israel har bombet hospitaler og FNstøttede faciliteter. Det er forbudt under IHL, forudsat at de ikke er militære mål. Det er også et brud imod Genève Konventionen kap. 3 art. 19, kap. 4 art. 24, 25, 26, 31, 32. kap. 6 art. 35, Ethvert sådant angreb kan vurderes som en potentiel krigsforbrydelse. Verdenssundhedsorganisationen WHO har indtil videre registreret 51 angreb på hospitals og sundhedsfaciliteter i Gaza siden den 7. oktober. 5. Israelsk brug af hvid fosfor Flere menneskerettighedsorganisationer, bl.a. Human Rights Watch, har verificeret, at Israel den 11. oktober brugte hvidt fosfor i Gaza, der er af de tættest befolkede områder i verden. Dette udsætter civile for unødvendig risiko, som under international lov har krav på beskyttelse.  2. Manglende dialog og lydhør medfor befolkningen Via politiske handlinger og udtalelser igennem pressen og sociale medier udtrykkes klart signal om, at Statsministeren ikke har været tilstrækkelig tilgængelig for, eller engageret i dialog med befolkningen. Heller ej været lydhør overfor borgernes fredelige protester imod krigen.  2.1 Manglende lydhør for befolkningen.  På trods af, at de danske statsborgere, igennem demonstrationer og borgerforslag, har ytret ønske om humanitær våbenhvile, undlader statsministeren gentagende gange at stemme for en humanitær våbenhvile til FNs generalforsamling.  2.2 Manglende dialog med befolkningen. Danske journalister udskammes ved højaktuelle spørgsmål vedr. hendes sympati og engagement for Palæstina. Hidtil ingen varetag eller kommentarer vedr. borgerafstemning som for længst har opnået stemmekvote.  3. Manglende evne til at forene Danmark er et mangfoldigt land. Danmark rummer flere nationaliteter, og vi ønsker en leder, der kan forene nationen og adressere politiske og sociale spændinger for at skabe et harmonisk samfund.   3.1 Ensidighed og polarisering af befolkning.  Statsministeren har deltaget ensidet i konflikten ved kun at engageres i jødiske arrangementer og mærkedage og via udelukkende at udtrykke proisraelske kommentarer på sociale medier og til pressen. Statsministeren har ikke deltaget i propalæstinensiske mærkedage, sørge eller mindehøjtideligheder. Heller ej givet udtrykt for empati for den palæstinensiske befolkning. Herudover udskammes danske journalister ved spørgsmål herom og sår tvivl ved fredelige proPalæstinensiske demonstrationer og protester. Statsministeren har igangsat efterforskning af lovligheden af disse fredelige folkesamlinger  hvilket ville bryde med grundlovens 79 om forsamlingsretten. Statsministeren splitter nationen ved sit ensidige engagement i Israel, samtidigt med ignorering af drab på civile palæstinensere og manglende udtryk for medfølelse for herboende berørte borgere.  Vi anmoder om en afstemning, om hvorvidt Folketinget har tillid til Statsministeren efter denne periode med manglende afstandtagen fra krigsforbrydelser. I håbet om at vælge en ny leder, der bedre repræsenterer vores kollektive vision for nationens fremtid.",4,23,180,23,July,53,8928,3,193,46,7128,47.177167071321165,236.17107211551263,False,False,negative,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Reklamer  ja tak  men kun til dem, der ønsker det ",2024-07-26,161,"Det konkrete forslag  i prioriteret rækkefølge   A  At skabe et samfund, hvor reklamer er tilgængelige for alle, der aktivt opsøger dem, men at man som borger som udgangspunkt ikke er kunde i reklamebranchen.   Med andre ord vil dette forslags vedtagelse medføre, at vi får et samfund, hvor reklamer ikke præger det offentlige rum eller de mange digitale platforme for dig som borger, medmindre du opsøger reklamerne aktivt.  Hvis du gør det, er der til gengæld ingen grænser for, hvad du kan modtage af reklamer.   Udviklingen i mængden af reklamer vil dermed gå fra at være bestemt af erhvervslivet og reklamebranchen til at være defineret af forbrugernes ønsker og behov.  Det er en mere fair måde at drive udviklingen på.   Forslaget omfatter al slags reklame, både fysiske og digitale, herunder influencere mm.   B  Folketinget forpligter sig til at undersøge reklamernes indvirkning på vores samfund nærmere.  Hvordan det gøres, er det op til Folketinget at beslutte, men følgende spørgsmål ønskes besvaret indenfor max 6 måneder.  Hvilken betydning har reklamer, i alle former inklusiv influencerprofiler, på vores samfund når det gælder  	Forbrugoverforbrug  	Menneskelig trivselmistrivsel  	Beskyttelsen af det naturgrundlag, som vi ikke kan eksistere uden  	Vores arbejde for at indfri FNs verdensmål  	Danmarks CO2 udledning Baggrund   I dag er vores samfund gennemsyret af reklamer. I det offentlige rum, i aviserne, både de trykte og de digitale, på diverse sociale medier, i fjernsynet og stort set alle andre steder, hvor nogen kan se en mulighed for at påvirke os til at få et behov, der kan tjenes penge på.   I bedste fald er de mange målrettede reklamer med til at forsyne os med information om, hvad vi har at vælge imellem, hvis vi er på jagt efter et bestemt produkt og mangler inspiration.   I værste fald forårsager reklamerne et helt unødvendigt overforbrug, som ikke gavner hverken kloden eller os, fordi vi påvirkes til at forbruge langt mere, end vi ville have gjort, hvis vi handlede ud fra reelle behov, som vi selv fik lov at opleve, og herefter opfylde.   Ydermere er AI nu så udviklet, at det kan bruges til at skabe f.eks. influencerprofiler, hvor vi tror, at vi kigger på en virkelig person, men det gør vi ikke. AI og den parallelverden det skaber medfører mistillid og utryghed hos modtageren.  Eftersom vores samfund i høj grad baserer sig på tillid mellem os, er der stor fare for at underminere den, hvilket på den lidt længere bane kan få alvorlige konsekvenser for vores samfundsmodel. Ønsker vi virkelig at løbe den risiko for nogle reklamers skyld   Fordele og ulemper   Den konstante og massive påvirkning af os alle med reklamer har mange ulemper, som vi kunne vende til fordele, hvis reklamer spillede en mindre rolle   	reklamerne tager meget af vores energi, fordi vi hele tiden skal forholde os til udefrakommende påvirkninger, som vi dybest set ikke har bedt om.  	Reklamerne skaber falske behov hos rigtig mange af os. Behov der fører til et overforbrug, som skader planeten med CO2 udledning, affald osv.  	I nogle tilfælde gør reklamerne os syge, fordi vi føler os utilstrækkelige, mindreværdige, utrygge og stressede, når ikke vi formår at leve op til de standarder som reklamerne skaber.  	Reklamernes massive påvirkning af hjernen medfører indtryksoverbelastning, der i nogle tilfælde kan føre til sygdom og mistrivsel.  	I grove tilfælde forleder reklamerne os til at træffe valg på forkert grundlag, fordi reklamerne bevæger sig på grænserne af, hvad der er sandt.  	Reklamerne er ofte målrettet børn, hvis hjerner ikke er færdigudviklede og hvis kritiske sans ikke har en chance for at modstå det voldsomt store pres for at købe eller gøre bestemte ting.  	Store virksomheder har ressourcerne til at markedsføre sig så kraftigt, at det nærmest kan skabe monopollignende tilstande, hvilket kan gøre det svært for mindre virksomheder og butikker at få markedsandele, om end de måtte have et godt produkt.   Er der ulemper ved at skærpe rammerne for reklamer i vores samfund  Ja, givetvis.   Der vil måske forsvinde en del arbejdspladser og forbruget  og dermed BNP  vil med stor sandsynlighed falde. Og der kan sikkert nævnes flere ulemper afhængig af øjnene, der ser.   Men udviklingen vil med dette forslag være bestemt af os alle som forbrugere, og ikke af reklamebranchen og det bagvedliggende erhvervsliv.   Fordelene er til gengæld, at de mange frie hænder kan gøre nytte andre steder. Det faldende forbrug vil mindske CO2udledningen, forureningen og affaldsophobningen og nedsætte danskernes ressourceforbrug som iflg. Circularity Gap Report er på 24,5 ton pr. dansker og dermed udsætte landets Earth Overshoot Day, som i 2024 faldt allerede den 16. marts.   Som mennesker vil vi igen få mulighed for at mærke vores reelle behov og få dem opfyldt på vores egen måde og i vores eget tempo.  Den delvist reklameskabte mistrivsel vil forsvinde og børn vil få fred fra massive påvirkninger, som de ikke kan gardere sig imod.     Ideer til gennemførelse af forslaget   Alle reklamer, influencerprofiler mm. befinder sig på et specifikt domæne eller bag en digital mur, hvor den aktivt kan tilgås af dem, der ønsker det, men ikke påvirker alle andre.  På samme måde skal man aktivt bede om papirreklamer, hvis man ønsker dem, men man skal ikke bøvle med at frasige sig reklamerne.",5,23,180,23,July,50,5339,1,68,36,4221,51.26257367680938,110.01393763509014,False,False,positive,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Varedeklarationer på madvarer skal indeholde energi fordelingen af hele varen,2024-07-26,38,"Mange madvarer bruger en arbitrær portion størrelse f.eks. 25 g Stjerne Mix, eller 45 g Crüsli, som kan gøre det svært hurtigt at gennemskue hvor mange kalorier der egentlig gemmer sig i det vi spiser. Med en energi fordeling der inkluderer hele varens vægt bliver det nemmere for folk der ønsker at begrænse deres kalorie indtag. Personlig sundhed er folks egen sag, men det er vigtigt som samfund at vise støtte til dem der ønsker at forbedre deres sundhed. Fedme øger risikoen for en masse andre følgesygdomme, og den eneste vej ud af fedme er enten ved omfattende operationer eller ved at indtage færre kalorier og derved tabe sig, og ingen af delene er permanente medmindre der sker en livsstilsændring. Derudover kan der være genetik der kan gøre en mere eller mindre tilbøjelig til at tage på, eller man kan have taget på fordi man tager noget medicin der gør at man øger sin vægt, eller man har et handicap der gør at man ikke har de samme muligheder. Der kan være mange grunde til at det med at holde sig sund ikke er lige let for alle, og grundtanken med dette borgerforslag er så lidt indgreb i folks frihed til at vælge, med størst potentiale for at hjælpe.   Man skal kunne tage en madvare, kigge bagpå varedeklarationen og se hvor mange kalorier, fedt, protein, og kulhydrater der er i hele varen. Informationen er tilgængelig allerede, men den skal ikke være gemt bag et regnestykke. Jo nemmere det er at gennemskue, jo nemmere er det at træffe de rigtige valg.",3,23,180,23,July,77,1476,1,12,67,1173,45.17482517482517,115.24879144995818,False,False,positive,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Statslig støtte til fjernelse af asbestholdigt tagmateriale,2024-07-26,808,"Der bør indføres en statslig pulje til støtte for udskiftning af asbesttage på lige fod med energirenoveringspuljen. Ca. 150 danskere får hvert år konstateret lungehindekræft. Lungehindekræft udløses nærmest udelukkende efter asbesteksponering, og der kan gå årtier fra eksponeringen til kræften udvikler sig. Der skal desværre ikke mange asbestfibre til, før man er i øget risiko for at udvikle lungehindekræft. Lungehindekræft er en kræftform der først sent i forløbet giver symptomer, og total helbredelse er derfor sjældent mulig. Overlevelsen og livsforlængende behandling er dog bedret de sidste år, men behandlingen er ekstremt dyr for samfundet.  Der er med stor sandsynlighed over 1 million bygninger i Danmark med asbesttag, og tagene er efterhånden så gamle, at de begynder at nedbrydes. Vi kender endnu ikke konsekvensen af dette, men man kan frygte en øget eksponering. Måske vil dette medføre en kraftig stigning i nye tilfælde af lungehindekræft om 3040 år.  Mange ville sikkert skifte tagtype, hvis udgifterne til arbejdet ikke var så store som nu.  Jeg foreslår en pulje, der kan ansøges til udskiftning af tag på samme måde, som der eksisterer puljer til energiforbedring af boliger. Det vil skabe mere arbejde til håndværkerne, mange boligejere vil sikkert ved samme lejlighed energioptimere til gavn for klimaet, samfundet vil på sigt spare penge på behandling af lungehindekræft og mange liv vil forhåbentligt kunne reddes.",3,23,180,23,July,59,1444,1,13,52,1176,48.286713286713294,338.94401845367554,False,False,neutral,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
