Title,URL
Fartbøder forhindrer i at opnå Dansk statsborgerskab,https://borgerforslag.dk/se-og-stoet-forslag/?Id=FT-18099
Forbyd dressurridning som konkurrencesport,https://borgerforslag.dk/se-og-stoet-forslag/?Id=FT-18075
Lavere skat og fjernelse af minimumsalder på pensionsudbetaling for personer med uhelbredelig sygdom,https://borgerforslag.dk/se-og-stoet-forslag/?Id=FT-18046
Bloddonorpligt. (Som værnepligt),https://borgerforslag.dk/se-og-stoet-forslag/?Id=FT-18044
Giv politiet mulighed for at nedsætte straks-navneforbud i særlige sager,https://borgerforslag.dk/se-og-stoet-forslag/?Id=FT-18028
Mistillidsvotum til statsminimister Mette Frederiksen,https://borgerforslag.dk/se-og-stoet-forslag/?Id=FT-18016
"Reklamer – ja tak! – men kun til dem, der ønsker det …",https://borgerforslag.dk/se-og-stoet-forslag/?Id=FT-17997
Varedeklarationer på madvarer skal indeholde energi fordelingen af hele varen,https://borgerforslag.dk/se-og-stoet-forslag/?Id=FT-18050
Statslig støtte til fjernelse af asbestholdigt tagmateriale,https://borgerforslag.dk/se-og-stoet-forslag/?Id=FT-18032
Feriepenge til pensionister.,https://borgerforslag.dk/se-og-stoet-forslag/?Id=FT-18062
Giv igen forældre ret til selv at bestemme over barsel,https://borgerforslag.dk/se-og-stoet-forslag/?Id=FT-18029
Sygeplejersker skal have løn under praktikforløb.,https://borgerforslag.dk/se-og-stoet-forslag/?Id=FT-18030
"I gentagelsestilfælde af personfarlig kriminalitet, herunder seksualforbrydelser, bør sager ikke kunne forældes",https://borgerforslag.dk/se-og-stoet-forslag/?Id=FT-17960
Sikring af borgere mod uberettiget omregistrering af bil,https://borgerforslag.dk/se-og-stoet-forslag/?Id=FT-17930
"Ønske om ændring af lukkelovens §1 for mindre detailbutikker beliggende i turist- og kystnære områder, hvor §9. Stk. 2 ikke gør sig gældende",https://borgerforslag.dk/se-og-stoet-forslag/?Id=FT-17914
Nej til KUN 58 SU klip,https://borgerforslag.dk/se-og-stoet-forslag/?Id=FT-17912
Myndighedsansvar ved lovbrud,https://borgerforslag.dk/se-og-stoet-forslag/?Id=FT-17980
Slå vejrabatterne,https://borgerforslag.dk/se-og-stoet-forslag/?Id=FT-17962
Skattelettelser til den almene borger.,https://borgerforslag.dk/se-og-stoet-forslag/?Id=FT-17945
